technology,parameter,value,unit,source,further description,currency_year,financial_case,scenario
Midsize DW - Class 7,FOM,1.22,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Midsize DW - Class 8,investment,2858.3122069733363,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Midsize DW - Class 8,CF,0.2443,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Midsize DW - Class 8,FOM,1.22,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Midsize DW - Class 9,investment,2858.3122069733363,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Midsize DW - Class 9,CF,0.1953,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Midsize DW - Class 9,FOM,1.22,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 10,investment,5862.946962350275,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 10,CF,0.207375,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 10,FOM,0.6,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 1,investment,5862.946962350275,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 1,CF,0.4347,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 1,FOM,0.6,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 2,investment,5862.946962350275,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 2,CF,0.3996,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 2,FOM,0.6,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 3,investment,5862.946962350275,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 3,CF,0.3870375,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 3,FOM,0.6,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 4,investment,5862.946962350275,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 4,CF,0.37395,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 4,FOM,0.6,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 5,investment,5862.946962350275,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 5,CF,0.3577499999999999,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 5,FOM,0.6,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 6,investment,5862.946962350275,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 6,CF,0.33315,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 6,FOM,0.6,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 7,investment,5862.946962350275,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 7,CF,0.298875,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 7,FOM,0.6,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 8,investment,5862.946962350275,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 8,CF,0.2574,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 8,FOM,0.6,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 9,investment,5862.946962350275,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 9,CF,0.2133,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Residential DW - Class 9,FOM,0.6,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Geothermal - Deep EGS / Flash,investment,20014.949220811097,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Geothermal - Deep EGS / Flash,CF,0.9,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Geothermal - Deep EGS / Flash,FOM,1.04,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Geothermal - Deep EGS / Binary,investment,46223.166312467394,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Geothermal - Deep EGS / Binary,CF,0.8,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Geothermal - Deep EGS / Binary,FOM,1.16,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
geothermal,investment,6753.318387893009,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
geothermal,CF,0.9,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
geothermal,FOM,1.59,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Geothermal - Hydro / Binary,investment,8612.30630675177,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Geothermal - Hydro / Binary,CF,0.8,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Geothermal - Hydro / Binary,FOM,1.64,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Geothermal - NF EGS / Flash,investment,20014.949220811097,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Geothermal - NF EGS / Flash,CF,0.9,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Geothermal - NF EGS / Flash,FOM,1.04,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Geothermal - NF EGS / Binary,investment,46223.166312467394,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Geothermal - NF EGS / Binary,CF,0.8,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Geothermal - NF EGS / Binary,FOM,1.16,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 10 - Technology 4,investment,1462.0,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 10 - Technology 4,CF,0.175,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 10 - Technology 4,FOM,2.94,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
onwind,investment,1462.0,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
onwind,CF,0.481,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
onwind,FOM,2.94,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 2 - Technology 1,investment,1462.0,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 2 - Technology 1,CF,0.457,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 2 - Technology 1,FOM,2.94,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 3 - Technology 1,investment,1462.0,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 3 - Technology 1,CF,0.447,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 3 - Technology 1,FOM,2.94,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 4 - Technology 1,investment,1462.0,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 4 - Technology 1,CF,0.437,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 4 - Technology 1,FOM,2.94,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 5 - Technology 1,investment,1462.0,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 5 - Technology 1,CF,0.423,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 5 - Technology 1,FOM,2.94,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 6 - Technology 1,investment,1462.0,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 6 - Technology 1,CF,0.401,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 6 - Technology 1,FOM,2.94,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 7 - Technology 1,investment,1462.0,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 7 - Technology 1,CF,0.368,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 7 - Technology 1,FOM,2.94,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 8 - Technology 2,investment,1462.0,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 8 - Technology 2,CF,0.322,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 8 - Technology 2,FOM,2.94,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 9 - Technology 3,investment,1462.0,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 9 - Technology 3,CF,0.271,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Land-Based Wind - Class 9 - Technology 3,FOM,2.94,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 10,investment,5518.170696424659,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 10,CF,0.4929294755368033,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 10,FOM,1.62,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
offwind,investment,3748.422881315576,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 11,investment,5907.977975975177,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
offwind,CF,0.4474137942083409,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 11,CF,0.4862590926011915,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
offwind,FOM,3.1,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 11,FOM,1.64,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 12,investment,6160.328505762936,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 2,investment,3792.8342508324154,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 12,CF,0.4581512508970425,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 2,CF,0.4360074835052935,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 12,FOM,1.67,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 2,FOM,3.13,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 13,investment,6324.9831210190105,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 3,investment,3944.0590844506446,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 13,CF,0.3653526000018398,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 3,CF,0.4392665706274899,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 13,FOM,1.67,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 3,FOM,3.06,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 14,investment,6398.70570286769,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 4,investment,4095.517191980495,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 14,CF,0.3002947223517344,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 4,CF,0.4372683324699233,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 14,FOM,1.49,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 4,FOM,2.97,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 5,investment,4297.5279634675535,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 5,CF,0.4302219144624515,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 5,FOM,2.91,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 6,investment,4267.090203523792,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 6,CF,0.3693660607947082,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 6,FOM,2.89,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 7,investment,4305.518615599609,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 7,CF,0.285346260918581,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 7,FOM,2.74,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 8,investment,5302.898851355543,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 8,CF,0.5143961275958042,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 8,FOM,1.6,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 9,investment,5399.213615724163,USD/kW,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 9,CF,0.5018224247805211,per unit,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
Offshore Wind - Class 9,FOM,1.59,%/year,NREL/ATB-https://data.openei.org/s3_viewer?bucket=oedi-data-lake&prefix=ATB%2Felectricity%2Fcsv%2F2022%2F,,2020.0,R&D,Conservative
